Number,	Name,	Type1
1,	Bulbasaur,	Grass
2,	Ivysaur,	Grass
3,	Venusaur,	Grass
4,	Charmander,	Fire
5,	Charmeleon,	Fire
6,	Charizard,	Fire
7,	Squirtle,	Water
8,	Wartortle,	Water
9,	Blastoise,	Water
10,	Caterpie,	Bug
11,	Metapod,	Bug
12,	Butterfree,	Bug
13,	Weedle,	Bug
14,	Kakuna,	Bug
15,	Beedrill,	Bug
16,	Pidgey,	Normal
17,	Pidgeotto,	Normal
18,	Pidgeot,	Normal
19,	Rattata,	Normal
20,	Raticate,	Normal
21,	Spearow,	Normal
22,	Fearow	Normal
23,	Ekans	Poison
24,	Arbok,	Poison
25,	Pikachu,	Electric
26,	Raichu,	Electric
27,	Sandshrew,	Ground
28,	Sandslash,	Ground
29,	Nidoran(F),	Poison
30,	Nidorina,	Poison
31,	Nidoqueen,	Poison
32,	Nidoran(M),	Poison
33,	Nidorino,	Poison
34,	Nidoking,	Poison
35,	Clefairy,	Normal
36,	Clefable,	Normal
37,	Vulpix,	Fire
38,	Ninetales,	Fire
39,	Jigglypuff,	Normal
40,	Wigglytuff,	Normal
41,	Zubat,	Poison
42,	Golbat,	Poison
43,	Oddish,	Grass
44,	Gloom,	Grass
45,	Vileplume,	Grass
46,	Paras,	Bug
47,	Parasect,	Bug
48,	Venonat,	Bug
49,	Venomoth,	Bug
50,	Diglett,	Ground
51,	Dugtrio,	Ground
52,	Meowth,	Normal
53,	Persian,	Normal
54,	Psyduck,	Water
55,	Golduck,	Water
56,	Mankey,	Fighting
57,	Primeape,	Fighting
58,	Growlithe,	Fire
59,	Arcanine,	Fire
60,	Poliwag,	Water
61,	Poliwhirl,	Water
62,	Poliwrath,	Water
63,	Abra,	Psychic
64,	Kadabra,	Psychic
65,	Alakazam,	Psychic
66,	Machop,	Fighting
67,	Machoke,	Fighting
68,	Machamp,	Fighting
69,	Bellsprout,	Grass
70,	Weepinbell,	Grass
71,	Victreebel,	Grass
72,	Tentacool,	Water
73,	Tentacruel,	Water
74,	Geodude,	Ground
75,	Graveler,	Ground
76,	Golem,	Ground
77,	Ponyta,	Fire
78,	Rapidash,	Fire
79,	Slowpoke,	Water
80,	Slowbro,	Water
81,	Magnemite,	Electric
82,	Magneton,	Electric
83,	Farfetch'd,	Normal
84,	Doduo,	Normal
85,	Dodrio,	Normal
86,	Seel,	Water
87,	Dewgong,	Water
88,	Grimer,	Poison
89,	Muk,	Poison
90,	Shellder,	Water
91,	Cloyster,	Water
92,	Gastly,	Ghost
93,	Haunter,	Ghost
94,	Gengar,	Ghost
95,	Onix,	Ground
96,	Drowzee,	Psychic
97,	Hypno,	Psychic
98,	Krabby,	Water
99,	Kingler,	Water
100,	Voltorb,	Electric
101,	Electrode,	Electric
102,	Exeggcute,	Grass
103,	Exeggutor,	Grass
104,	Cubone,	Ground
105,	Marowak,	Ground
106,	Hitmonlee,	Fighting
107,	Hitmonchan,	Fighting
108,	Lickitung,	Normal
109,	Koffing,	Poison
110,	Weezing,	Poison
111,	Rhyhorn,	Ground
112,	Rhydon,	Ground
113,	Chansey,	Normal
114,	Tangela,	Grass
115,	Kangaskhan,	Normal
116,	Horsea,	Water
117,	Seadra,	Water
118,	Goldeen,	Water
119,	Seaking,	Water
120,	Staryu,	Water
121,	Starmie,	Water
122,	Mr.Mime,	Psychic
123,	Scyther,	Bug
124,	Jynx,	Psychic
125,	Electabuzz,	Electric
126,	Magmar,	Fire
127,	Pinsir,	Bug
128,	Tauros,	Normal
129,	Magikarp,	Water
130,	Gyarados,	Water
131,	Lapras,	Water
132,	Ditto,	Normal
133,	Eevee,	Normal
134,	Vaporeon,	Water
135,	Jolteon,	Electric
136,	Flareon,	Fire
137,	Porygon,	Normal
138,	Omanyte,	Water
139,	Omastar,	Water
140,	Kabuto,	Ground
141,	Kabutops,	Ground
142,	Aerodactyl,	Ground
143,	Snorlax,	Normal
144,	Articuno,	Ice
145,	Zapdos,	Electric
146,	Moltres,	Fire
147,	Dratini,	Dragon
148,	Dragonair,	Dragon
149,	Dragonite,	Dragon
150,	Mewtwo,	Psychic
151,	Mew,	Psychic
